job_completion_time|version|info|jobid|perf_var=perf_value|perf_ref perf_lower_thres,perf_upper_thres)perf_unit
2023-12-11T09:39:57|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5156871|null=null|ref=null (l=null, u=null)|null
2023-12-11T10:56:47|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5159320|null=null|ref=null (l=null, u=null)|null
2023-12-11T11:04:02|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5159423|null=null|ref=null (l=null, u=null)|null
2023-12-11T11:11:17|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5159478|null=null|ref=null (l=null, u=null)|null
2023-12-11T11:19:41|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5159483|null=null|ref=null (l=null, u=null)|null
2023-12-11T11:40:20|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5159498|null=null|ref=null (l=null, u=null)|null
2023-12-11T16:28:53|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5172399|null=null|ref=null (l=null, u=null)|null
2023-12-11T16:55:21|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5176596|null=null|ref=null (l=null, u=null)|null
2023-12-12T09:31:51|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5199908|null=null|ref=null (l=null, u=null)|null
2023-12-13T13:06:46|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5227273|null=null|ref=null (l=null, u=null)|null
2023-12-13T16:21:00|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5229257|null=null|ref=null (l=null, u=null)|null
2023-12-13T17:34:40|reframe 4.4.0-dev.1|ResNet50GPUBenchmark /0f809d01 @cirrus:compute-gpu-default+Default|jobid=5229694|null=null|ref=null (l=null, u=null)|null
